Time, GyroX, GyroY, GyroZ, AccX, AccY, AccZ, Pressure, TempMS, Height, KalHeight
283,101.15,32.81,-11.10,0.06,0.66,-0.94,1018.34,5.29,-10.70,-19.94
306,32.36,158.89,-8.94,0.23,0.69,-0.62,1018.49,5.30,-11.89,-8.17
373,21.43,77.70,35.50,0.11,0.64,-0.91,1018.38,5.30,-11.02,-11.92
442,-63.66,32.05,-5.42,0.17,0.69,-0.89,1018.38,5.30,-11.02,-10.80
511,-136.91,47.96,27.44,0.08,0.93,-0.90,1018.38,5.30,-11.02,-11.06
582,-104.42,-90.09,101.19,0.35,0.79,-0.79,1018.38,5.30,-11.02,-11.01
655,-144.04,-90.64,86.02,0.42,0.73,-0.85,1018.38,5.30,-11.02,-11.02
727,-175.98,1.30,28.64,0.38,0.75,-0.71,1018.49,5.30,-11.89,-12.00
796,-148.45,-22.70,74.58,0.28,0.85,-0.55,1018.38,5.30,-11.02,-10.91
869,-127.05,-68.44,48.34,0.31,0.78,-0.54,1018.38,5.30,-11.02,-11.03
941,-106.71,-10.41,28.81,0.36,0.77,-0.32,1018.33,5.32,-10.62,-10.58
1011,-127.98,-38.03,23.42,0.25,0.82,-0.39,1018.27,5.30,-10.14,-10.10
1083,-74.44,18.32,27.87,0.26,0.87,-0.31,1018.43,5.32,-11.42,-11.52
1154,-10.30,-15.36,19.13,0.35,0.86,-0.27,1018.43,5.32,-11.42,-11.41
1226,-8.99,-20.17,-15.05,0.31,0.97,-0.33,1018.33,5.32,-10.62,-10.57
1298,-36.67,10.03,-35.10,0.34,0.84,-0.32,1018.33,5.32,-10.62,-10.62
1370,-27.06,11.85,-23.17,0.28,0.89,-0.24,1018.43,5.32,-11.42,-11.46
1442,48.48,54.05,-49.78,0.14,0.94,-0.35,1018.43,5.32,-11.42,-11.41
1512,10.81,-22.33,-69.68,0.38,1.03,-0.07,1018.43,5.32,-11.42,-11.42
1584,12.56,-7.34,-27.05,0.13,0.96,-0.43,1018.43,5.32,-11.42,-11.42
1655,-20.42,-0.01,-6.33,0.10,0.96,-0.36,1018.43,5.32,-11.42,-11.42
1726,14.56,-65.52,-26.46,0.32,0.95,-0.16,1018.33,5.32,-10.62,-10.58
1798,-22.93,-3.02,5.71,0.21,0.99,-0.30,1018.43,5.32,-11.42,-11.45
1868,-31.73,-2.65,4.75,0.02,0.92,-0.57,1018.49,5.35,-11.89,-11.91
1937,-33.40,7.96,24.93,0.33,0.93,-0.07,1018.43,5.32,-11.42,-11.40
2007,12.19,-26.41,-18.46,0.31,0.93,-0.13,1018.49,5.35,-11.89,-11.91
2079,17.44,-6.94,-9.36,0.12,1.01,-0.48,1018.33,5.32,-10.62,-10.57
2149,-15.41,15.13,40.75,-0.07,0.92,-0.67,1018.49,5.35,-11.89,-11.94
2221,-2.61,-42.38,-5.34,0.18,0.97,-0.27,1018.38,5.35,-11.02,-10.99
2292,-2.83,-90.94,-13.95,0.08,0.98,-0.45,1018.38,5.35,-11.02,-11.02
2363,-29.28,-0.49,34.23,0.15,0.90,-0.19,1018.38,5.35,-11.02,-11.02
2434,36.89,2.78,54.05,0.41,1.71,-0.82,1018.38,5.35,-11.02,-11.02
2503,30.42,21.47,-2.29,0.17,0.96,-0.49,1018.49,5.35,-11.89,-11.92
2573,-10.41,-6.55,-4.27,0.22,0.96,-0.35,1018.33,5.32,-10.62,-10.58
2644,-50.07,3.87,39.85,0.13,0.97,-0.21,1018.49,5.35,-11.89,-11.93
2713,-29.35,37.67,35.53,0.21,0.82,-0.35,1018.38,5.35,-11.02,-10.99
2784,-15.41,1.21,-0.30,0.37,1.00,-0.08,1018.38,5.35,-11.02,-11.02
2854,48.81,47.82,-12.23,0.36,0.99,-0.15,1018.38,5.35,-11.02,-11.02
2925,10.72,135.04,-39.66,-0.14,0.90,-1.06,1018.38,5.35,-11.02,-11.02
2998,-36.80,-2.23,9.24,0.32,0.96,-0.00,1018.49,5.35,-11.89,-11.92
3068,29.04,-12.30,0.25,0.25,1.01,-0.11,1018.38,5.35,-11.02,-10.99
3137,26.25,11.15,9.80,0.23,1.04,-0.03,1018.38,5.35,-11.02,-11.02
3206,3.53,1.33,0.26,0.29,1.00,-0.16,1018.49,5.35,-11.89,-11.91
3273,-28.45,12.38,-14.26,0.26,0.91,-0.13,1018.38,5.35,-11.02,-11.00
3345,-28.76,-1.66,-1.07,0.23,1.01,-0.17,1018.38,5.35,-11.02,-11.02
3416,20.11,1.44,5.96,0.11,1.04,-0.37,1018.49,5.35,-11.89,-11.91
3483,18.20,13.91,4.90,0.21,0.98,-0.24,1018.27,5.35,-10.14,-10.10
