Time, GyroX, GyroY, GyroZ, AccX, AccY, AccZ, Pressure, TempMS, Height, KalHeight
4770,-8.97,-143.52,16.84,0.18,0.73,-0.79,1017.73,4.81,-5.83,-5.83
4840,-85.34,-8.90,16.89,0.22,0.83,-0.70,1017.84,4.81,-6.71,-6.72
4909,-97.69,-41.36,37.19,0.26,0.80,-0.57,1017.68,4.79,-5.43,-5.41
4979,-0.10,-14.88,51.71,0.28,0.74,-0.76,1017.84,4.81,-6.71,-6.73
5048,28.98,-32.15,13.42,0.30,0.77,-0.81,1017.84,4.81,-6.71,-6.71
5116,36.91,-27.26,-39.43,0.17,0.76,-0.73,1017.73,4.81,-5.83,-5.82
5186,40.56,1.82,-30.82,0.20,0.79,-0.74,1017.79,4.79,-6.31,-6.32
5254,27.32,35.77,-3.13,0.22,0.80,-0.79,1017.73,4.81,-5.83,-5.82
5321,25.09,-12.33,6.28,0.23,0.76,-0.73,1017.68,4.79,-5.43,-5.43
5389,-22.76,48.22,11.85,0.27,0.78,-0.80,1017.73,4.81,-5.83,-5.84
5458,-37.72,66.14,18.51,0.24,0.77,-0.81,1017.84,4.81,-6.71,-6.72
5527,-60.54,60.54,52.95,0.29,0.83,-0.70,1017.84,4.81,-6.71,-6.71
5595,-94.93,104.45,51.76,0.27,0.74,-0.64,1017.73,4.81,-5.83,-5.82
5665,-58.71,27.79,17.35,0.35,0.80,-0.61,1017.84,4.81,-6.71,-6.72
5734,0.83,105.71,-20.18,0.36,0.82,-0.60,1017.73,4.81,-5.83,-5.82
5803,-50.44,237.85,1.21,0.38,0.84,-0.51,1017.84,4.81,-6.71,-6.72
5871,-12.10,156.38,-36.33,0.47,0.85,-0.35,1017.73,4.81,-5.83,-5.82
5942,52.77,226.92,27.93,0.47,0.86,-0.50,1017.84,4.81,-6.71,-6.72
6011,34.01,199.38,56.23,0.55,0.81,-0.27,1017.84,4.81,-6.71,-6.71
6080,-32.71,177.27,26.80,0.59,0.78,-0.27,1017.84,4.81,-6.71,-6.71
6150,-77.46,228.83,1.38,0.65,0.86,-0.16,1017.84,4.81,-6.71,-6.71
6219,-90.77,420.86,11.48,0.51,0.78,-0.06,1017.95,4.81,-7.59,-7.60
6288,-41.38,293.91,-24.67,0.46,0.77,0.24,1017.84,4.81,-6.71,-6.70
6358,16.30,181.19,-12.87,0.51,0.78,0.26,1017.84,4.81,-6.71,-6.71
6431,35.15,97.15,-23.83,0.46,0.80,0.24,1017.84,4.81,-6.71,-6.71
6495,43.20,107.45,-23.59,0.45,0.83,0.24,1017.79,4.79,-6.31,-6.30
6563,31.84,30.12,3.56,0.33,0.84,0.26,1017.90,4.79,-7.19,-7.20
6629,39.56,74.84,17.41,0.34,0.81,0.24,1017.90,4.79,-7.19,-7.19
